node_id,lat,lon,municipality,region,type
cph_central,55.673391,12.557343,Københavns Kommune,Region Hovedstaden,house
cph_central,55.670176,12.57027,Københavns Kommune,Region Hovedstaden,house
cph_central,55.677929,12.560476,Københavns Kommune,Region Hovedstaden,house
cph_central,55.6759828,12.5644661,Københavns Kommune,Region Hovedstaden,amenity
cph_central,55.675732,12.56239,Københavns Kommune,Region Hovedstaden,house
cph_central,55.674453,12.561895,Københavns Kommune,Region Hovedstaden,house
cph_central,55.6716638,12.561597,Københavns Kommune,Region Hovedstaden,amenity
cph_central,55.6707153,12.5724531,Københavns Kommune,Region Hovedstaden,necessity
cph_central,55.6716367,12.5603173,Københavns Kommune,Region Hovedstaden,amenity
cph_central,55.675583,12.566548,Københavns Kommune,Region Hovedstaden,house
cph_central,55.666702,12.560109,Københavns Kommune,Region Hovedstaden,house
cph_central,55.6676771,12.5583943,Københavns Kommune,Region Hovedstaden,parking
