sample_id,time_min,distance_km,location_gps_list
walk,14.0,1.0,"[(55.648932, 12.286933), (55.6431677, 12.2815308)]"
walk,32.0,2.3,"[(55.6517731, 12.3009052), (55.6594963, 12.2845918)]"
walk,23.0,1.7,"[(55.648873, 12.293757), (55.6481983, 12.2743818)]"
walk,22.0,1.6,"[(55.648873, 12.293757), (55.647894, 12.275044)]"
walk,37.0,2.8,"[(55.651428, 12.28771), (55.6437249, 12.2772628)]"
walk,34.0,2.5,"[(55.6525146, 12.2881073), (55.6594963, 12.2845918)]"
walk,12.0,0.931,"[(55.648873, 12.293757), (55.646884, 12.305576)]"
walk,29.0,2.2,"[(55.649758, 12.285941), (55.6576453, 12.2941881)]"
walk,45.0,3.3,"[(55.648081, 12.293254), (55.6677414, 12.2856542)]"
walk,14.0,0.975,"[(55.658789, 12.291355), (55.6587035, 12.2816489)]"
walk,15.0,1.1,"[(55.6570276, 12.2827529), (55.6534465, 12.2919356)]"
walk,26.0,2.0,"[(55.6525146, 12.2881073), (55.6443025, 12.2985665)]"
walk,31.0,2.3,"[(55.649758, 12.285941), (55.659909, 12.299289)]"
walk,38.0,2.8,"[(55.65421, 12.279603), (55.646884, 12.305576)]"
walk,21.0,1.6,"[(55.6545285, 12.2854561), (55.6524833, 12.2944903)]"
walk,33.0,2.4,"[(55.658789, 12.291355), (55.64753, 12.290627)]"
walk,30.0,2.2,"[(55.65377, 12.287433), (55.6443025, 12.2985665)]"
walk,24.0,1.8,"[(55.65421, 12.279603), (55.647431, 12.28794)]"
walk,28.0,2.1,"[(55.649758, 12.285941), (55.6534465, 12.2919356)]"
walk,32.0,2.4,"[(55.6525146, 12.2881073), (55.6476049, 12.2821751)]"
walk,29.0,2.0,"[(55.648932, 12.286933), (55.6587035, 12.2816489)]"
walk,33.0,2.4,"[(55.6582765, 12.2933943), (55.647431, 12.28794)]"
walk,17.0,1.2,"[(55.656945, 12.2812499), (55.6515566, 12.2743899)]"
