sample_id,time_min,distance_km,location_gps_list
walk,12.0,0.906,"[(55.7260382, 12.4842728), (55.719903, 12.484058)]"
walk,29.0,2.1,"[(55.7231027, 12.477781), (55.722221, 12.504576)]"
walk,36.0,2.6,"[(55.71688, 12.479142), (55.722221, 12.504576)]"
walk,17.0,1.3,"[(55.721623, 12.489789), (55.726267, 12.476164)]"
walk,19.0,1.4,"[(55.721687, 12.486215), (55.7289564, 12.4928583)]"
walk,31.0,2.4,"[(55.7172787, 12.4929345), (55.709425, 12.472247)]"
walk,20.0,1.5,"[(55.7157423, 12.4924165), (55.721791, 12.476148)]"
walk,30.0,2.2,"[(55.7195844, 12.4929897), (55.7297442, 12.4803458)]"
walk,17.0,1.3,"[(55.7192428, 12.4791386), (55.7113993, 12.4842306)]"
walk,10.0,0.777,"[(55.719559, 12.497372), (55.7140796, 12.5032743)]"
walk,13.0,0.985,"[(55.7158174, 12.4794276), (55.719903, 12.484058)]"
walk,21.0,1.5,"[(55.7212206, 12.479678), (55.711831, 12.468795)]"
walk,9.0,0.728,"[(55.7231027, 12.477781), (55.726094, 12.482028)]"
walk,33.0,2.5,"[(55.7224774, 12.4915155), (55.7113993, 12.4842306)]"
walk,43.0,3.2,"[(55.719559, 12.497372), (55.711831, 12.468795)]"
walk,7.0,0.562,"[(55.721623, 12.489789), (55.719903, 12.484058)]"
walk,22.0,1.7,"[(55.7172787, 12.4929345), (55.726094, 12.482028)]"
walk,14.0,1.1,"[(55.722794, 12.489119), (55.721791, 12.476148)]"
walk,37.0,2.7,"[(55.7158174, 12.4794276), (55.727744, 12.498998)]"
walk,12.0,0.891,"[(55.71688, 12.479142), (55.7113993, 12.4842306)]"
walk,20.0,1.5,"[(55.7260382, 12.4842728), (55.7283339, 12.4979742)]"
walk,22.0,1.7,"[(55.7252379, 12.4862241), (55.7158366, 12.5033322)]"
walk,20.0,1.6,"[(55.7221223, 12.4920769), (55.711056, 12.498328)]"
walk,32.0,2.4,"[(55.721687, 12.486215), (55.709304, 12.498434)]"
walk,12.0,0.934,"[(55.7176974, 12.4874727), (55.7250917, 12.4862741)]"
walk,6.0,0.45,"[(55.7227944, 12.4868977), (55.719903, 12.484058)]"
walk,18.0,1.4,"[(55.722794, 12.489119), (55.724941, 12.471797)]"
walk,29.0,2.2,"[(55.7195844, 12.4929897), (55.7283339, 12.4979742)]"
walk,22.0,1.6,"[(55.722551, 12.483346), (55.727744, 12.498998)]"
walk,20.0,1.6,"[(55.722794, 12.489119), (55.7252054, 12.4687126)]"
walk,32.0,2.3,"[(55.71688, 12.479142), (55.7289564, 12.4928583)]"
walk,30.0,2.2,"[(55.7192428, 12.4791386), (55.711056, 12.498328)]"
