name,lat,lon,radius_m
Nordhavn,55.709932771398556,12.599082813887355,750
Mjølnerparken,55.70439532679232,12.541645617638611,750
Tingbjerg,55.72001065185823,12.485834564015878,750
Taastrupgaard,55.653992308213944,12.289811420268117,750
CPH Central,55.67157021678844, 12.564402972197449,750
